"URL","product_name","w_VbBP","image_url","w_hhLG href","price_description","f7","total item sell till now","past_price","f7 2","flex src","f7 3","price","gray 3","z-2 href 4","br-100 src 4"
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FRevlon-Super-Lustrous-Creme-Lipstick-Creamy-Formula-755-Bare-It-All-0-15-oz%2F486355573%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=mJk5_tFRsFQuIU6ecbeYRTksBNgTDrOxzqS0elLj6e9maBF_yiRGBzQBrGZm5ggCBwqc8fV6TGIuKoPvyUs283wmFTZ0s1HbENsoE7X-1gXf1DSAFiDe8y_nm-vkLA-r6ujzxyZajCSzxcT6tPsjo3gn8PNGHgaZUD6IP7ZuZdcrMgeXWsdZNYE5eu4psezPE--5GnbB6aY58P9q6TdjUlfhqGkC7H1CHdT2gSeTDFSsVK2cMWYTjK8vrgqobkm-2OgfsWRqzT42MnpdJ8NdWQ&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&athbdg=L1600","Revlon Super Lustrous Creme Lipstick, Creamy Formula, 755 Bare It All, 0.15 oz","Best seller","https://i5.walmartimages.com/seo/Revlon-Super-Lustrous-Creme-Lipstick-Creamy-Formula-755-Bare-It-All-0-15-oz_d3f80ae5-78bc-4090-8321-9a9e92b4e3a2.b6705b161f47cc8d7c0c4304193379f6.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FRevlon-Super-Lustrous-Creme-Lipstick-Creamy-Formula-755-Bare-It-All-0-15-oz%2F486355573%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=mJk5_tFRsFQuIU6ecbeYRTksBNgTDrOxzqS0elLj6e9maBF_yiRGBzQBrGZm5ggCBwqc8fV6TGIuKoPvyUs283wmFTZ0s1HbENsoE7X-1gXf1DSAFiDe8y_nm-vkLA-r6ujzxyZajCSzxcT6tPsjo3gn8PNGHgaZUD6IP7ZuZdcrMgeXWsdZNYE5eu4psezPE--5GnbB6aY58P9q6TdjUlfhqGkC7H1CHdT2gSeTDFSsVK2cMWYTjK8vrgqobkm-2OgfsWRqzT42MnpdJ8NdWQ&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&athbdg=L1600","current price $6.48","More options from $4.51","6604","4.4 out of 5 Stars. 6604 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","","","",""
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FRimmel-London-Stay-Matte-Fix-Go-2-in-1-Primer-Setting-Spray-3-4-fl-oz%2F569144320%3FadsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=Z1jDhv7hhznUiWs_zXQvOHC9SztW8Z8ZoWyX61085We5nMkfG0u8dvtp2ys7lrdVrPxSTjDGJqVPJ9lNV2kqz9Gb5ciMu9xKc7o_38xDqnBqF7vZnDqXDyy5J_44UooffWgpzPQJAA1VmwDH9nZPaUy84F03p05hyvjUavO6r1FX4ahpAux9Qh3U9oEnkwxUrFStnDFmE4yvL64KqG5JvtjoH7Fkas0-NjJ6XSfDXVk&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/Rimmel-London-Stay-Matte-Fix-Go-2-in-1-Primer-Setting-Spray-3-4-fl-oz/569144320","Rimmel London Stay Matte Fix & Go 2-in-1 Primer & Setting Spray, 3.4 fl oz","","https://i5.walmartimages.com/seo/Rimmel-London-Stay-Matte-Fix-Go-2-in-1-Primer-Setting-Spray-3-4-fl-oz_74e77579-6d37-4fbc-b915-5429fe733fed.c2f52c1cd4b8aec94d5f474eb0bb72f8.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","","current price Now $4.98","","731","4.4 out of 5 Stars. 731 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$5.97","$1.47/fl oz","",""
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FAquaphor-Lip-Repair-Stick-Lip-Balm-for-Dry-Chapped-Lips%2F621710698%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=9WaER7cjUl7qkLksIkjnfjfo8tS20M-kxGuoJU-AfDiUlYuPjmxihxY7JgJqs3alSDDkkzK3RKynTaMcSwbMxNsGxaY1SoWXQuzETqTu0pPwE84NAEMBSHLZxTWLMhmPlMbFuE0eoXHCZiqnJrhM5tT97Rj7dV7bgHELZGjkLMHENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&athbdg=L1600","Aquaphor Lip Repair Stick, Lip Balm for Dry Chapped Lips","Best seller","https://i5.walmartimages.com/seo/Aquaphor-Lip-Repair-Stick-Lip-Balm-for-Dry-Chapped-Lips_146203d6-2b6d-4614-91ed-f30c82a69a48.0c743ce98e3f8775b254dd140338c46e.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF","","current price $4.97","","2122","4.6 out of 5 Stars. 2122 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","","$29.24/oz","",""
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FMilani-Make-It-Last-Setting-Spray-Prime-Correct-Set-Natural-Finish-2-03-fl-oz%2F174296823%3FadsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=5nzvAk6ubmvo7eLeVRE85t5r72mFnKrYOhuBeFXzh9H8v-HkEAIv6PaPqy0-Ru9CgkaQZPUkyX5BG8Mwr4apXf9b0Z2VV-tvwBrZoGPE3kIc0QEAZV-nAyLNHLERwtfGnLIha__B7fLmBXnHTx-DCe2BgI6JfGG2ncOk-0uis7nENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/Milani-Make-It-Last-Setting-Spray-Prime-Correct-Set-Natural-Finish-2-03-fl-oz/174296823","Milani Make It Last Setting Spray, Prime + Correct + Set, Natural Finish, 2.03 fl oz","","https://i5.walmartimages.com/seo/Milani-Make-It-Last-Setting-Spray-Prime-Correct-Set-Natural-Finish-2-03-fl-oz_6463f5bd-3c7d-4bc4-923a-9668c2594763.88aba3fd9c87ba72d5fc89df94203881.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=1085666_7876574_6999697&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FMilani-Make-It-Last-Setting-Spray-Prime-Correct-Set-Natural-Finish-2-03-fl-oz%2F174296823%3FadsRedirect%3Dtrue&adUid=bc8ec4bb-0ebc-4f41-b246-af22dfd3e454&mloc=sp-search-middle&pltfm=desktop&pgId=makeup&pt=search&spQs=5nzvAk6ubmvo7eLeVRE85t5r72mFnKrYOhuBeFXzh9H8v-HkEAIv6PaPqy0-Ru9CgkaQZPUkyX5BG8Mwr4apXf9b0Z2VV-tvwBrZoGPE3kIc0QEAZV-nAyLNHLERwtfGnLIha__B7fLmBXnHTx-DCe2BgI6JfGG2ncOk-0uis7nENFCZe4YjcfM9I3H8R0HkVou3_w1O7zcNkYR_bljlY5J3mITg_xivqsJYeFpsNJI&storeId=3081&couponState=na&bkt=ace1_11026%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/Milani-Make-It-Last-Setting-Spray-Prime-Correct-Set-Natural-Finish-2-03-fl-oz/174296823","current price $9.97","Options from $9.97 – $19.94","838","4.6 out of 5 Stars. 838 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$4.91/fl oz","","",""
"https://www.walmart.com/ip/NYX-Professional-Makeup-Fat-Oil-Lip-Drip-Hydrating-Lip-Gloss-Missed-Call/1094758274?athbdg=L1600&from=/search","NYX Professional Makeup Fat Oil Lip Drip Hydrating Lip Gloss, Missed Call","Best seller","https://i5.walmartimages.com/seo/NYX-Professional-Makeup-Fat-Oil-Lip-Drip-Hydrating-Lip-Gloss-Missed-Call_2b8f356d-12eb-4e3a-a4eb-9cd7dff805b8.7ab5bab0ed9192e82dad5122812bf193.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/ip/NYX-Professional-Makeup-Fat-Oil-Lip-Drip-Hydrating-Lip-Gloss-Missed-Call/1094758274?athbdg=L1600","current price $8.97","More options from $8.11","2034","4.5 out of 5 Stars. 2034 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$56.06/oz","","https://www.walmart.com/ip/NYX-Professional-Makeup-Fat-Oil-Lip-Drip-Hydrating-Lip-Gloss-Newsfeed/2454144121?variantFieldId=actual_color","https://i5.walmartimages.com/asr/a212e914-67b7-46ca-8f7d-cdfa5004a337.2c46d086bdd8d8c2b753a8bc10a6ab03.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF"
"https://www.walmart.com/ip/Equate-Makeup-Sponges-Assorted-Colors-2-Count/1586381107?athbdg=L1600&from=/search","Makeup Sponges, Assorted Colors, 2 Count","Best seller","https://i5.walmartimages.com/asr/662b5314-f30d-4511-9fbd-f3546f3d6e64.817b065e74937bd6cff626cf4c697026.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","","current price $1.97","","95","4.7 out of 5 Stars. 95 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","","","",""
"https://www.walmart.com/ip/e-l-f-Power-Grip-Primer-0-811-fl-oz/951334506?athbdg=L1103&from=/search","e.l.f. Power Grip Primer, 0.811 fl oz","","https://i5.walmartimages.com/seo/e-l-f-Power-Grip-Primer-0-811-fl-oz_add4a04d-e4ed-4d70-843f-646eeb4f809e.8857184091f43ea350b813ce7f560233.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/ip/e-l-f-Power-Grip-Primer-0-811-fl-oz/951334506?athbdg=L1103","current price $10.00","Options from $10.00 – $20.00","10839","4.7 out of 5 Stars. 10839 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$12.35/fl oz","","",""
"https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Pressed-Face-Powder-Makeup-Classic-Ivory-0-29-oz/41127273?athbdg=L1600&from=/search","Maybelline Fit Me Matte Poreless Pressed Face Powder Makeup, Classic Ivory, 0.29 oz","Best seller","https://i5.walmartimages.com/seo/Maybelline-Fit-Me-Matte-Poreless-Pressed-Face-Powder-Makeup-Classic-Ivory-0-29-oz_83c0c0ff-7c3d-4a5f-a397-4e14562566d0.d885cbdc427cab1a09510c6d3121f1ad.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Pressed-Face-Powder-Makeup-Classic-Ivory-0-29-oz/41127273?athbdg=L1600","current price $8.68","More options from $6.94","2093","4.5 out of 5 Stars. 2093 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$29.93/oz","","https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Pressed-Face-Powder-Makeup-Coconut-0-29-oz/406460261?variantFieldId=actual_color","https://i5.walmartimages.com/asr/1571109d-7ea3-4aa5-a8d2-802a79abaf98_1.2526f543c0c98946882c01e24d2ecf4c.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF"
"https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Liquid-Foundation-Makeup-120-Classic-Ivory-1-fl-oz/41127258?athbdg=L1600&from=/search","Maybelline Fit Me Matte + Poreless Liquid Foundation Makeup, 120 Classic Ivory, 1 fl oz","Best seller","https://i5.walmartimages.com/seo/Maybelline-Fit-Me-Matte-Poreless-Liquid-Foundation-Makeup-120-Classic-Ivory-1-fl-oz_12efe5ac-66b7-4071-8176-514d08c38a07.dba480ef08f2fa88cf11af9b472f8efb.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Liquid-Foundation-Makeup-120-Classic-Ivory-1-fl-oz/41127258?athbdg=L1600","current price $8.62","More options from $6.82","5635","4.5 out of 5 Stars. 5635 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","$8.62/oz","","https://www.walmart.com/ip/Maybelline-Fit-Me-Matte-Poreless-Liquid-Foundation-Makeup-Fair-Porcelain-1-fl-oz/248935137?variantFieldId=actual_color","https://i5.walmartimages.com/asr/edec2219-589d-4b84-9e7b-8a66816e69dc_1.45ef90f3abd6ade62c28a9d12a1e039a.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF"
"https://www.walmart.com/ip/NYX-Professional-Makeup-Jumbo-Eye-Pencil-All-in-one-Eyeshadow-and-Eyeliner-Multi-stick-Milk/103842840?from=/search","NYX Professional Makeup Jumbo Eye Pencil, All-in-one Eyeshadow and Eyeliner Multi-stick, Milk","","https://i5.walmartimages.com/seo/NYX-Professional-Makeup-Jumbo-Eye-Pencil-All-in-one-Eyeshadow-and-Eyeliner-Multi-stick-Milk_f696b1ad-0247-4e07-a0d5-bfb4ab8d816b.b93ff137c4e73b29cb833546dbf98926.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF","https://www.walmart.com/ip/NYX-Professional-Makeup-Jumbo-Eye-Pencil-All-in-one-Eyeshadow-and-Eyeliner-Multi-stick-Milk/103842840","current price $5.97","More options from $5.47","1935","4.1 out of 5 Stars. 1935 reviews","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","","","https://www.walmart.com/ip/NYX-Professional-Makeup-Jumbo-Eye-Pencil-All-in-one-Eyeshadow-and-Eyeliner-Multi-stick-Matcha-0-18-oz/275916037?variantFieldId=actual_color","https://i5.walmartimages.com/asr/0e617947-87e0-4cdd-b5d0-36adbb73e52a.0a8ab65494b85c16550b85427e1b69fe.jpeg?odnHeight=30&odnWidth=30&odnBg=FFFFFF"
