
"URL","product_name","image_url","mr2","price_dollar","f6 2","price_desciption","price_per_unit","review_count","rating","Additional_Details","gray 3","f7","flex src","f7 2","b","f7 3","b 2","dark-gray"
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=976759_9176907_1001469_2181160&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FTyson-Fully-Cooked-and-Breaded-Chicken-Patties-1-62-lb-Bag-Frozen%2F108931416%3FadsRedirect%3Dtrue&adUid=3ddc5be1-a868-4063-8f3e-729caf8efff4&mloc=sp-search-middle&pltfm=desktop&pgId=groocery&pt=search&spQs=92woI7QH66ZvrtZ1nxR04oKTBkNawtqmLC9MhS5LGuqvTxXtrRNFlkFBibxYkz53BWocQTaPj34-mjA_2f-udzNTkD8HsLE3wU_NpOQjX-zLuhsMUtWgbfmz3H70DWkHDlSyMfMPo2s1JWX9LFX9gA_7ED3ciwbw4W_TvyryjvKLY_CfABXRXIcPcCU4gX4XN2UTE_gxBOGCrtwCz67v7du_EyYACHduL7UN7Wscj4A&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/Tyson-Fully-Cooked-and-Breaded-Chicken-Patties-1-62-lb-Bag-Frozen/108931416","Tyson Fully Cooked and Breaded Chicken Patties, 1.62 lb Bag (Frozen)","https://i5.walmartimages.com/seo/Tyson-Fully-Cooked-and-Breaded-Chicken-Patties-1-62-lb-Bag-Frozen_879761c8-e253-4e65-8afa-be783bf19e92.3b5caebcaf74daa53c65c93d2e453b73.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","6","46","current price $6.46","$3.96/lb","867","3.6 out of 5 Stars. 867 reviews","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=976759_9176907_1001469_2181160&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FKing-s-Hawaiian-Original-Hawaiian-Sweet-Dinner-Rolls-12-Count-12-Oz%2F10421729%3FadsRedirect%3Dtrue&adUid=3ddc5be1-a868-4063-8f3e-729caf8efff4&mloc=sp-search-middle&pltfm=desktop&pgId=groocery&pt=search&spQs=6T8pIJKmQcijZ2rait1u_612QZ1hFILbRHcCDMa36UMgyqB9h19WBL1F8m1Doia_TknA2dHfSHQxSF-TvV0baj8LBJdPpiuweM0x9gbq8sbEE9l0aaP6AOiIqA6JL8eI6RLxhLr-l6Ndm8riQmXARIT6VmaLHdn92rvP1fyj9LJbTJC01EpGw-nmu3i7Ep6wkWp_6oFq82PTlPU2rak16G7PsNtvbRQ5MfQ0hp5k7Gs&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/King-s-Hawaiian-Original-Hawaiian-Sweet-Dinner-Rolls-12-Count-12-Oz/10421729","King's Hawaiian Original Hawaiian Sweet Dinner Rolls, 12 Count, 12 Oz","https://i5.walmartimages.com/seo/King-s-Hawaiian-Original-Hawaiian-Sweet-Dinner-Rolls-12-Count-12-Oz_3dd0c370-49e0-4018-938c-afcc59559dd7.1e5340c56264e3a6aac257c3a8a816a5.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","","4","68","current price $4.68","39.0 ¢/oz","474","4.6 out of 5 Stars. 474 reviews","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=976759_9176907_1001469_2181160&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FUncrustables-Peanut-Butter-Grape-Jelly-Sandwich-10-Count-Pack%2F10849748%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=3ddc5be1-a868-4063-8f3e-729caf8efff4&mloc=sp-search-middle&pltfm=desktop&pgId=groocery&pt=search&spQs=Pvenh0jBAt6dJREhQJv1t1r56tH8Vrx_ACrVkCO9R3ZzIjZpfzp3BLwRjFEZRxt3jY6oyfu3inmFfM3U_S4AnY0sqmnjMNiFBFeAKVAAXJIN7t_R9bKIo19w7KOdOoqjW-gn2UjlIgI1zJ5cfYdz4ZexyLDzXtLD2mLUaUDJ69VX4ahpAux9Qh3U9oEnkwxUrFStnDFmE4yvL64KqG5JvtjoH7Fkas0-NjJ6XSfDXVk&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&athbdg=L1600","Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, 2 oz, 10 count (Frozen)","https://i5.walmartimages.com/seo/Uncrustables-Peanut-Butter-Grape-Jelly-Sandwich-10-Count-Pack_cf6aaa1e-655f-4985-bab0-fa3ffc7211b6.471594c9d05e30496ca8288f493147d8.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","9","96","current price $9.96","49.8 ¢/oz","5809","4.6 out of 5 Stars. 5809 reviews","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=976759_9176907_1001469_2181160&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FHamburger-Helper-Pasta-Cheeseburger-Macaroni-6-6-Ounces-Box%2F5078997439%3FadsRedirect%3Dtrue&adUid=3ddc5be1-a868-4063-8f3e-729caf8efff4&mloc=sp-search-middle&pltfm=desktop&pgId=groocery&pt=search&spQs=9vbg1JcDbhSaGNBmPZdbnB36D6tSMgfcBDlIbTQqvU13HKAlYC8LPJGACkvWyIPtzUZvWum8Lfol9H1QFGBK95AJpuhnmy-bc315ns6lwzWNAR9pvlThuOLRlHMHnkB9eyTrldUKbOxCK8A0Kz7lt1FjnzDrK635NGqvxZlBIAnUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=3081&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default%7Cbb_ctrl-10700%7Ccoldstart_on%7Csearch_ColdStartv2&/ip/Hamburger-Helper-Pasta-Cheeseburger-Macaroni-6-6-Ounces-Box/5078997439","Hamburger Helper Pasta Cheeseburger Macaroni, 6.6 Ounces Box","https://i5.walmartimages.com/seo/Hamburger-Helper-Pasta-Cheeseburger-Macaroni-6-6-Ounces-Box_41c63d77-297e-47a3-b8be-f46cab8d4707.0ced71af456a84d3ac60f855f2cf791e.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","1","63","current price Now $1.63","24.7 ¢/oz","1112","4.3 out of 5 Stars. 1112 reviews","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Great-Value-Purified-Drinking-Water-16-9-fl-oz-Bottles-40-Count/992524020?athbdg=L1600&from=/search","Great Value Purified Drinking Water, 16.9 fl oz Bottles, 40 Count","https://i5.walmartimages.com/asr/061099c8-2637-49ad-9706-506d42bbe542.33c33902d22157d2c215a61e15fd4a4b.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","5","63","current price $5.63","0.8 ¢/fl oz","9772","3.4 out of 5 Stars. 9772 reviews","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Great-Value-Milk-Whole-Vitamin-D-Gallon-Plastic-Jug/10450114?athbdg=L1600&from=/search","Great Value Whole Vitamin D Milk, Gallon, Plastic, Jug, 128 Fl Oz","https://i5.walmartimages.com/asr/6a7b09b4-f51d-4bea-a01c-85767f1b481a.86876244397d83ce6cdedb030abe6e4a.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","3","78","current price $3.78","3.0 ¢/fl oz","","","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Great-Value-White-Round-Top-Bread-Loaf-20-oz/10315355?athbdg=L1600&from=/search","Great Value White Round Top Bread Loaf, 20 oz","https://i5.walmartimages.com/asr/8e69fca6-dda1-47b1-959c-7ec4d84b0a58.8cae75bc1ffe9c3d1ece768c0e5447a2.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","1","48","current price $1.48","7.4 ¢/oz","","","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Fresh-Banana-Fruit-Each/44390948?athbdg=L1600&from=/search","Fresh Banana Fruit, Each","https://i5.walmartimages.com/asr/5939a6fa-a0d6-431c-88c6-b4f21608e4be.f7cd0cc487761d74c69b7731493c1581.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","0","24","current price Now $0.24","50.0 ¢/lb","","","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Great-Value-Frozen-Broccoli-Florets-12-oz-Steamable-Bag/735585383?athbdg=L1600&from=/search","Great Value Frozen Broccoli Florets, 12 oz Steamable Bag","https://i5.walmartimages.com/asr/c6e47501-d339-4baa-ac33-94518223ff3b.e6736cdc6c8437702d6a2f6db2d243c0.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","1","16","current price $1.16","9.7 ¢/oz","","","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
"https://www.walmart.com/ip/Fresh-Whole-Russet-Potatoes-5lb-bag/10447837?athbdg=L1600&from=/search","Fresh Whole Russet Potatoes , 5lb bag","https://i5.walmartimages.com/asr/39e383c7-abe5-42fa-9078-5d6d0bb5c0d4.8fc19a526bf85bd640d369c4c85a2bf2.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF","Add","3","24","current price $3.24","64.8 ¢/lb","","","https://i5.walmartimages.com/dfw/63fd9f59-2845/2044d79e-92d5-4c08-90a2-0480444a877f/v1/EBT-Logo.svg","EBT eligible","Save with","https://i5.walmartimages.com/dfw/63fd9f59-ac39/29c6759d-7f14-49fa-bd3a-b870eb4fb8fb/v1/wplus-icon-blue.svg","Pickup","today","Delivery","today","Subscribe"
